viewpoint,avg_proximity
theta000_phi000,8.753
theta000_phi010,9.840
theta000_phi020,9.249
theta000_phi030,9.909
theta000_phi040,8.471
theta000_phi050,6.970
theta000_phi060,7.846
theta000_phi070,8.308
theta000_phi080,8.400
theta000_phi090,9.044
theta000_phi100,9.098
theta000_phi110,8.564
theta000_phi120,9.228
theta000_phi130,10.205
theta000_phi140,7.591
theta000_phi150,8.792
theta000_phi160,7.259
theta000_phi170,8.363
theta000_phi180,8.543
theta000_phi190,8.701
theta000_phi200,11.091
theta000_phi210,10.819
theta000_phi220,9.477
theta000_phi230,10.319
theta000_phi240,10.185
theta000_phi250,8.310
theta000_phi260,8.383
theta000_phi270,12.371
theta000_phi280,11.787
theta000_phi290,8.227
theta000_phi300,8.544
theta000_phi310,8.541
theta000_phi320,9.374
theta000_phi330,10.587
theta000_phi340,9.964
theta000_phi350,7.441
theta018_phi000,8.176
theta018_phi010,9.863
theta018_phi020,9.636
theta018_phi030,8.750
theta018_phi040,8.898
theta018_phi050,9.454
theta018_phi060,7.474
theta018_phi070,8.118
theta018_phi080,10.277
theta018_phi090,10.199
theta018_phi100,9.568
theta018_phi110,8.975
theta018_phi120,11.360
theta018_phi130,10.556
theta018_phi140,11.244
theta018_phi150,10.658
theta018_phi160,11.357
theta018_phi170,14.924
theta018_phi180,8.690
theta018_phi190,9.619
theta018_phi200,8.701
theta018_phi210,13.331
theta018_phi220,10.951
theta018_phi230,9.912
theta018_phi240,8.970
theta018_phi250,9.519
theta018_phi260,7.048
theta018_phi270,6.148
theta018_phi280,5.553
theta018_phi290,5.821
theta018_phi300,7.782
theta018_phi310,6.724
theta018_phi320,8.365
theta018_phi330,7.426
theta018_phi340,8.617
theta018_phi350,7.210
theta036_phi000,7.905
theta036_phi010,8.933
theta036_phi020,5.546
theta036_phi030,4.756
theta036_phi040,7.483
theta036_phi050,8.462
theta036_phi060,8.567
theta036_phi070,10.499
theta036_phi080,9.995
theta036_phi090,12.033
theta036_phi100,9.082
theta036_phi110,10.332
theta036_phi120,10.119
theta036_phi130,9.825
theta036_phi140,9.676
theta036_phi150,9.110
theta036_phi160,9.664
theta036_phi170,9.642
theta036_phi180,11.184
theta036_phi190,10.963
theta036_phi200,9.227
theta036_phi210,9.470
theta036_phi220,8.581
theta036_phi230,10.370
theta036_phi240,12.606
theta036_phi250,11.957
theta036_phi260,10.646
theta036_phi270,8.642
theta036_phi280,9.227
theta036_phi290,5.492
theta036_phi300,5.981
theta036_phi310,5.794
theta036_phi320,5.893
theta036_phi330,5.924
theta036_phi340,5.418
theta036_phi350,5.460
theta054_phi000,6.027
theta054_phi010,7.119
theta054_phi020,5.621
theta054_phi030,4.790
theta054_phi040,6.093
theta054_phi050,6.603
theta054_phi060,7.646
theta054_phi070,8.305
theta054_phi080,6.138
theta054_phi090,9.181
theta054_phi100,10.299
theta054_phi110,10.409
theta054_phi120,8.287
theta054_phi130,7.520
theta054_phi140,7.626
theta054_phi150,7.549
theta054_phi160,6.406
theta054_phi170,5.816
theta054_phi180,6.612
theta054_phi190,6.994
theta054_phi200,7.354
theta054_phi210,9.895
theta054_phi220,9.273
theta054_phi230,9.274
theta054_phi240,7.114
theta054_phi250,8.105
theta054_phi260,7.443
theta054_phi270,7.151
theta054_phi280,4.837
theta054_phi290,5.602
theta054_phi300,4.389
theta054_phi310,5.412
theta054_phi320,3.670
theta054_phi330,5.756
theta054_phi340,4.922
theta054_phi350,4.597
theta072_phi000,4.536
theta072_phi010,4.299
theta072_phi020,5.094
theta072_phi030,4.424
theta072_phi040,4.617
theta072_phi050,3.724
theta072_phi060,6.762
theta072_phi070,4.552
theta072_phi080,7.075
theta072_phi090,6.304
theta072_phi100,6.612
theta072_phi110,7.262
theta072_phi120,7.389
theta072_phi130,5.492
theta072_phi140,5.156
theta072_phi150,5.342
theta072_phi160,4.915
theta072_phi170,5.394
theta072_phi180,4.908
theta072_phi190,5.441
theta072_phi200,5.119
theta072_phi210,5.093
theta072_phi220,4.035
theta072_phi230,3.782
theta072_phi240,4.599
theta072_phi250,4.461
theta072_phi260,5.997
theta072_phi270,5.359
theta072_phi280,4.024
theta072_phi290,4.786
theta072_phi300,4.922
theta072_phi310,4.314
theta072_phi320,4.927
theta072_phi330,4.058
theta072_phi340,3.938
theta072_phi350,5.481
theta090_phi000,5.787
theta090_phi010,5.822
theta090_phi020,3.023
theta090_phi030,3.724
theta090_phi040,3.367
theta090_phi050,3.209
theta090_phi060,3.101
theta090_phi070,2.514
theta090_phi080,2.513
theta090_phi090,2.588
theta090_phi100,3.865
theta090_phi110,3.860
theta090_phi120,3.682
theta090_phi130,3.112
theta090_phi140,4.390
theta090_phi150,4.646
theta090_phi160,4.331
theta090_phi170,4.682
theta090_phi180,4.378
theta090_phi190,2.977
theta090_phi200,2.937
theta090_phi210,4.053
theta090_phi220,3.654
theta090_phi230,3.535
theta090_phi240,2.683
theta090_phi250,4.520
theta090_phi260,5.255
theta090_phi270,4.320
theta090_phi280,4.532
theta090_phi290,7.438
theta090_phi300,4.335
theta090_phi310,6.579
theta090_phi320,6.854
theta090_phi330,6.863
theta090_phi340,9.421
theta090_phi350,8.224
full_scene,7.258
