viewpoint,avg_proximity
theta000_phi000,11.198
theta000_phi010,12.422
theta000_phi020,16.184
theta000_phi030,14.426
theta000_phi040,13.322
theta000_phi050,10.464
theta000_phi060,12.737
theta000_phi070,11.372
theta000_phi080,9.422
theta000_phi090,15.047
theta000_phi100,8.544
theta000_phi110,11.722
theta000_phi120,11.065
theta000_phi130,10.679
theta000_phi140,13.366
theta000_phi150,11.967
theta000_phi160,11.958
theta000_phi170,11.706
theta000_phi180,10.484
theta000_phi190,8.870
theta000_phi200,7.491
theta000_phi210,9.966
theta000_phi220,13.278
theta000_phi230,10.315
theta000_phi240,11.260
theta000_phi250,9.295
theta000_phi260,9.814
theta000_phi270,10.744
theta000_phi280,8.631
theta000_phi290,10.219
theta000_phi300,10.308
theta000_phi310,11.302
theta000_phi320,11.520
theta000_phi330,12.444
theta000_phi340,7.821
theta000_phi350,14.629
theta018_phi000,10.193
theta018_phi010,11.649
theta018_phi020,11.887
theta018_phi030,11.020
theta018_phi040,12.115
theta018_phi050,10.102
theta018_phi060,12.289
theta018_phi070,9.080
theta018_phi080,13.158
theta018_phi090,9.857
theta018_phi100,11.172
theta018_phi110,12.556
theta018_phi120,11.293
theta018_phi130,10.028
theta018_phi140,12.010
theta018_phi150,11.063
theta018_phi160,9.941
theta018_phi170,9.653
theta018_phi180,11.183
theta018_phi190,11.472
theta018_phi200,10.033
theta018_phi210,15.174
theta018_phi220,13.614
theta018_phi230,11.774
theta018_phi240,9.655
theta018_phi250,12.551
theta018_phi260,10.817
theta018_phi270,10.488
theta018_phi280,10.045
theta018_phi290,10.527
theta018_phi300,8.247
theta018_phi310,9.470
theta018_phi320,10.622
theta018_phi330,8.659
theta018_phi340,11.392
theta018_phi350,10.797
theta036_phi000,10.939
theta036_phi010,10.136
theta036_phi020,13.094
theta036_phi030,12.409
theta036_phi040,11.371
theta036_phi050,9.900
theta036_phi060,10.746
theta036_phi070,9.411
theta036_phi080,9.492
theta036_phi090,9.934
theta036_phi100,8.277
theta036_phi110,10.077
theta036_phi120,9.942
theta036_phi130,10.872
theta036_phi140,11.169
theta036_phi150,9.947
theta036_phi160,7.693
theta036_phi170,12.949
theta036_phi180,8.748
theta036_phi190,9.542
theta036_phi200,9.070
theta036_phi210,9.301
theta036_phi220,10.780
theta036_phi230,9.918
theta036_phi240,8.925
theta036_phi250,9.883
theta036_phi260,8.053
theta036_phi270,7.332
theta036_phi280,10.114
theta036_phi290,9.378
theta036_phi300,5.899
theta036_phi310,7.444
theta036_phi320,8.174
theta036_phi330,9.611
theta036_phi340,10.157
theta036_phi350,10.577
theta054_phi000,8.733
theta054_phi010,8.202
theta054_phi020,10.536
theta054_phi030,11.652
theta054_phi040,9.193
theta054_phi050,9.458
theta054_phi060,8.788
theta054_phi070,8.219
theta054_phi080,7.825
theta054_phi090,7.959
theta054_phi100,10.001
theta054_phi110,7.028
theta054_phi120,6.795
theta054_phi130,8.243
theta054_phi140,8.333
theta054_phi150,7.518
theta054_phi160,8.124
theta054_phi170,7.883
theta054_phi180,6.753
theta054_phi190,9.372
theta054_phi200,8.597
theta054_phi210,8.872
theta054_phi220,8.242
theta054_phi230,9.973
theta054_phi240,5.167
theta054_phi250,7.448
theta054_phi260,7.785
theta054_phi270,6.495
theta054_phi280,6.134
theta054_phi290,6.179
theta054_phi300,5.164
theta054_phi310,5.603
theta054_phi320,7.826
theta054_phi330,6.132
theta054_phi340,6.609
theta054_phi350,8.273
theta072_phi000,4.647
theta072_phi010,4.156
theta072_phi020,4.853
theta072_phi030,5.760
theta072_phi040,7.392
theta072_phi050,12.496
theta072_phi060,5.633
theta072_phi070,4.346
theta072_phi080,4.321
theta072_phi090,3.533
theta072_phi100,5.103
theta072_phi110,5.268
theta072_phi120,5.344
theta072_phi130,4.841
theta072_phi140,4.169
theta072_phi150,4.257
theta072_phi160,5.607
theta072_phi170,5.155
theta072_phi180,4.551
theta072_phi190,4.137
theta072_phi200,2.790
theta072_phi210,8.788
theta072_phi220,3.047
theta072_phi230,3.682
theta072_phi240,4.165
theta072_phi250,6.562
theta072_phi260,4.027
theta072_phi270,2.240
theta072_phi280,5.368
theta072_phi290,3.975
theta072_phi300,3.952
theta072_phi310,4.789
theta072_phi320,4.037
theta072_phi330,4.739
theta072_phi340,4.139
theta072_phi350,3.487
theta090_phi000,2.816
theta090_phi010,2.604
theta090_phi020,3.299
theta090_phi030,3.122
theta090_phi040,3.647
theta090_phi050,4.522
theta090_phi060,4.518
theta090_phi070,3.851
theta090_phi080,2.607
theta090_phi090,6.082
theta090_phi100,2.912
theta090_phi110,2.128
theta090_phi120,4.262
theta090_phi130,2.396
theta090_phi140,3.428
theta090_phi150,3.949
theta090_phi160,3.018
theta090_phi170,2.679
theta090_phi180,3.401
theta090_phi190,3.417
theta090_phi200,3.824
theta090_phi210,3.319
theta090_phi220,3.911
theta090_phi230,4.238
theta090_phi240,4.403
theta090_phi250,4.026
theta090_phi260,4.813
theta090_phi270,3.534
theta090_phi280,4.034
theta090_phi290,4.345
theta090_phi300,2.064
theta090_phi310,3.119
theta090_phi320,2.696
theta090_phi330,2.902
theta090_phi340,2.654
theta090_phi350,3.130
full_scene,8.051
