viewpoint,avg_proximity
theta000_phi000,59.510
theta000_phi010,48.066
theta000_phi020,57.884
theta000_phi030,42.529
theta000_phi040,46.403
theta000_phi050,44.710
theta000_phi060,44.408
theta000_phi070,48.107
theta000_phi080,43.735
theta000_phi090,43.152
theta000_phi100,52.373
theta000_phi110,42.996
theta000_phi120,50.064
theta000_phi130,43.308
theta000_phi140,44.137
theta000_phi150,47.149
theta000_phi160,51.652
theta000_phi170,46.822
theta000_phi180,49.494
theta000_phi190,49.782
theta000_phi200,47.751
theta000_phi210,43.012
theta000_phi220,46.454
theta000_phi230,51.819
theta000_phi240,51.346
theta000_phi250,51.104
theta000_phi260,45.854
theta000_phi270,52.312
theta000_phi280,46.494
theta000_phi290,50.105
theta000_phi300,50.330
theta000_phi310,54.317
theta000_phi320,51.575
theta000_phi330,51.902
theta000_phi340,51.179
theta000_phi350,48.405
theta018_phi000,47.839
theta018_phi010,49.780
theta018_phi020,46.262
theta018_phi030,53.772
theta018_phi040,44.848
theta018_phi050,44.674
theta018_phi060,49.507
theta018_phi070,45.772
theta018_phi080,47.695
theta018_phi090,50.134
theta018_phi100,53.365
theta018_phi110,51.904
theta018_phi120,49.942
theta018_phi130,44.374
theta018_phi140,41.401
theta018_phi150,50.170
theta018_phi160,47.388
theta018_phi170,47.832
theta018_phi180,49.864
theta018_phi190,46.813
theta018_phi200,41.823
theta018_phi210,43.825
theta018_phi220,43.435
theta018_phi230,48.013
theta018_phi240,47.324
theta018_phi250,41.911
theta018_phi260,44.624
theta018_phi270,47.228
theta018_phi280,52.863
theta018_phi290,54.079
theta018_phi300,51.598
theta018_phi310,55.770
theta018_phi320,52.772
theta018_phi330,50.836
theta018_phi340,51.565
theta018_phi350,49.491
theta036_phi000,42.911
theta036_phi010,43.326
theta036_phi020,40.869
theta036_phi030,46.268
theta036_phi040,37.615
theta036_phi050,45.908
theta036_phi060,43.535
theta036_phi070,46.841
theta036_phi080,44.342
theta036_phi090,50.191
theta036_phi100,43.537
theta036_phi110,45.539
theta036_phi120,44.474
theta036_phi130,39.244
theta036_phi140,40.622
theta036_phi150,41.580
theta036_phi160,36.987
theta036_phi170,39.680
theta036_phi180,39.949
theta036_phi190,41.739
theta036_phi200,37.690
theta036_phi210,39.179
theta036_phi220,40.473
theta036_phi230,40.436
theta036_phi240,37.793
theta036_phi250,38.322
theta036_phi260,40.643
theta036_phi270,44.552
theta036_phi280,41.902
theta036_phi290,48.910
theta036_phi300,48.832
theta036_phi310,46.797
theta036_phi320,43.862
theta036_phi330,40.181
theta036_phi340,44.562
theta036_phi350,43.146
theta054_phi000,34.560
theta054_phi010,34.460
theta054_phi020,34.752
theta054_phi030,32.391
theta054_phi040,31.226
theta054_phi050,34.418
theta054_phi060,33.360
theta054_phi070,26.284
theta054_phi080,29.308
theta054_phi090,28.971
theta054_phi100,37.503
theta054_phi110,41.112
theta054_phi120,37.930
theta054_phi130,28.937
theta054_phi140,30.898
theta054_phi150,30.421
theta054_phi160,29.312
theta054_phi170,28.716
theta054_phi180,30.402
theta054_phi190,32.115
theta054_phi200,30.920
theta054_phi210,28.074
theta054_phi220,32.120
theta054_phi230,29.954
theta054_phi240,24.620
theta054_phi250,32.896
theta054_phi260,43.544
theta054_phi270,35.398
theta054_phi280,46.889
theta054_phi290,45.816
theta054_phi300,39.640
theta054_phi310,35.493
theta054_phi320,36.832
theta054_phi330,36.633
theta054_phi340,36.201
theta054_phi350,36.044
theta072_phi000,32.561
theta072_phi010,21.325
theta072_phi020,11.108
theta072_phi030,11.156
theta072_phi040,17.302
theta072_phi050,16.327
theta072_phi060,14.595
theta072_phi070,9.974
theta072_phi080,7.643
theta072_phi090,31.282
theta072_phi100,23.132
theta072_phi110,27.382
theta072_phi120,31.866
theta072_phi130,24.745
theta072_phi140,29.233
theta072_phi150,24.450
theta072_phi160,16.456
theta072_phi170,19.058
theta072_phi180,21.763
theta072_phi190,20.631
theta072_phi200,14.666
theta072_phi210,17.445
theta072_phi220,22.505
theta072_phi230,20.608
theta072_phi240,17.163
theta072_phi250,19.857
theta072_phi260,14.304
theta072_phi270,38.833
theta072_phi280,24.650
theta072_phi290,27.232
theta072_phi300,39.496
theta072_phi310,33.752
theta072_phi320,28.509
theta072_phi330,25.933
theta072_phi340,26.066
theta072_phi350,27.029
theta090_phi000,16.305
theta090_phi010,22.339
theta090_phi020,25.326
theta090_phi030,7.801
theta090_phi040,15.673
theta090_phi050,13.070
theta090_phi060,7.984
theta090_phi070,15.673
theta090_phi080,3.786
theta090_phi090,12.176
theta090_phi100,9.548
theta090_phi110,20.108
theta090_phi120,20.827
theta090_phi130,18.522
theta090_phi140,21.325
theta090_phi150,20.547
theta090_phi160,12.734
theta090_phi170,9.349
theta090_phi180,8.852
theta090_phi190,10.940
theta090_phi200,13.995
theta090_phi210,15.281
theta090_phi220,6.797
theta090_phi230,11.360
theta090_phi240,10.831
theta090_phi250,13.855
theta090_phi260,4.649
theta090_phi270,2.352
theta090_phi280,13.252
theta090_phi290,9.280
theta090_phi300,20.940
theta090_phi310,23.221
theta090_phi320,14.959
theta090_phi330,15.177
theta090_phi340,21.150
theta090_phi350,19.031
full_scene,35.002
