viewpoint,avg_proximity
theta000_phi000,22.156
theta000_phi010,21.489
theta000_phi020,19.761
theta000_phi030,23.396
theta000_phi040,21.619
theta000_phi050,23.519
theta000_phi060,26.932
theta000_phi070,23.934
theta000_phi080,19.133
theta000_phi090,22.437
theta000_phi100,26.847
theta000_phi110,26.512
theta000_phi120,21.723
theta000_phi130,22.027
theta000_phi140,22.971
theta000_phi150,21.042
theta000_phi160,22.538
theta000_phi170,19.259
theta000_phi180,20.706
theta000_phi190,21.856
theta000_phi200,21.977
theta000_phi210,20.256
theta000_phi220,20.119
theta000_phi230,21.798
theta000_phi240,21.051
theta000_phi250,21.500
theta000_phi260,18.872
theta000_phi270,21.640
theta000_phi280,22.629
theta000_phi290,22.778
theta000_phi300,18.319
theta000_phi310,18.111
theta000_phi320,19.963
theta000_phi330,21.000
theta000_phi340,24.515
theta000_phi350,21.247
theta018_phi000,18.758
theta018_phi010,20.610
theta018_phi020,22.347
theta018_phi030,18.804
theta018_phi040,21.244
theta018_phi050,17.893
theta018_phi060,21.741
theta018_phi070,21.799
theta018_phi080,19.014
theta018_phi090,19.730
theta018_phi100,18.748
theta018_phi110,17.223
theta018_phi120,22.002
theta018_phi130,19.147
theta018_phi140,19.865
theta018_phi150,24.687
theta018_phi160,25.053
theta018_phi170,22.360
theta018_phi180,22.333
theta018_phi190,21.614
theta018_phi200,20.948
theta018_phi210,20.521
theta018_phi220,17.729
theta018_phi230,22.259
theta018_phi240,18.903
theta018_phi250,18.932
theta018_phi260,20.151
theta018_phi270,20.674
theta018_phi280,20.653
theta018_phi290,23.416
theta018_phi300,18.726
theta018_phi310,20.107
theta018_phi320,21.897
theta018_phi330,26.825
theta018_phi340,25.515
theta018_phi350,21.631
theta036_phi000,18.446
theta036_phi010,15.986
theta036_phi020,15.980
theta036_phi030,17.611
theta036_phi040,15.104
theta036_phi050,14.986
theta036_phi060,16.121
theta036_phi070,12.287
theta036_phi080,7.616
theta036_phi090,8.667
theta036_phi100,13.910
theta036_phi110,16.969
theta036_phi120,15.959
theta036_phi130,15.809
theta036_phi140,15.256
theta036_phi150,15.910
theta036_phi160,14.386
theta036_phi170,18.827
theta036_phi180,18.319
theta036_phi190,18.545
theta036_phi200,18.207
theta036_phi210,20.013
theta036_phi220,21.185
theta036_phi230,16.369
theta036_phi240,17.038
theta036_phi250,17.549
theta036_phi260,14.722
theta036_phi270,14.587
theta036_phi280,17.883
theta036_phi290,14.578
theta036_phi300,18.518
theta036_phi310,16.641
theta036_phi320,21.068
theta036_phi330,20.531
theta036_phi340,18.005
theta036_phi350,18.229
theta054_phi000,8.227
theta054_phi010,8.794
theta054_phi020,12.933
theta054_phi030,16.286
theta054_phi040,13.302
theta054_phi050,11.955
theta054_phi060,12.262
theta054_phi070,10.576
theta054_phi080,7.178
theta054_phi090,7.841
theta054_phi100,7.464
theta054_phi110,9.873
theta054_phi120,13.848
theta054_phi130,13.244
theta054_phi140,15.032
theta054_phi150,11.674
theta054_phi160,13.651
theta054_phi170,12.188
theta054_phi180,13.059
theta054_phi190,14.445
theta054_phi200,16.099
theta054_phi210,12.628
theta054_phi220,13.230
theta054_phi230,11.539
theta054_phi240,11.115
theta054_phi250,10.589
theta054_phi260,12.291
theta054_phi270,7.979
theta054_phi280,9.945
theta054_phi290,13.759
theta054_phi300,12.263
theta054_phi310,13.382
theta054_phi320,10.147
theta054_phi330,7.659
theta054_phi340,9.456
theta054_phi350,6.579
theta072_phi000,4.412
theta072_phi010,6.350
theta072_phi020,7.436
theta072_phi030,4.798
theta072_phi040,9.568
theta072_phi050,7.073
theta072_phi060,9.714
theta072_phi070,4.912
theta072_phi080,7.778
theta072_phi090,8.198
theta072_phi100,7.094
theta072_phi110,7.474
theta072_phi120,7.709
theta072_phi130,8.020
theta072_phi140,7.284
theta072_phi150,7.245
theta072_phi160,5.694
theta072_phi170,5.593
theta072_phi180,5.639
theta072_phi190,7.655
theta072_phi200,5.291
theta072_phi210,6.201
theta072_phi220,8.019
theta072_phi230,4.832
theta072_phi240,6.944
theta072_phi250,7.882
theta072_phi260,8.305
theta072_phi270,8.734
theta072_phi280,7.513
theta072_phi290,4.001
theta072_phi300,5.863
theta072_phi310,6.178
theta072_phi320,5.081
theta072_phi330,2.988
theta072_phi340,2.721
theta072_phi350,3.461
theta090_phi000,3.917
theta090_phi010,4.837
theta090_phi020,3.774
theta090_phi030,4.162
theta090_phi040,5.311
theta090_phi050,4.350
theta090_phi060,4.319
theta090_phi070,5.786
theta090_phi080,5.016
theta090_phi090,3.372
theta090_phi100,3.622
theta090_phi110,4.283
theta090_phi120,3.578
theta090_phi130,5.264
theta090_phi140,4.974
theta090_phi150,7.918
theta090_phi160,5.053
theta090_phi170,4.368
theta090_phi180,6.773
theta090_phi190,3.926
theta090_phi200,4.646
theta090_phi210,5.683
theta090_phi220,4.164
theta090_phi230,5.131
theta090_phi240,3.325
theta090_phi250,6.476
theta090_phi260,5.060
theta090_phi270,3.567
theta090_phi280,3.598
theta090_phi290,5.651
theta090_phi300,5.881
theta090_phi310,10.120
theta090_phi320,6.606
theta090_phi330,3.860
theta090_phi340,4.878
theta090_phi350,3.503
full_scene,13.677
