viewpoint,avg_proximity
theta000_phi000,14.987
theta000_phi010,14.712
theta000_phi020,14.020
theta000_phi030,20.003
theta000_phi040,16.830
theta000_phi050,13.555
theta000_phi060,14.098
theta000_phi070,9.062
theta000_phi080,10.671
theta000_phi090,10.893
theta000_phi100,12.675
theta000_phi110,10.393
theta000_phi120,11.302
theta000_phi130,14.505
theta000_phi140,10.504
theta000_phi150,9.750
theta000_phi160,11.940
theta000_phi170,12.447
theta000_phi180,15.426
theta000_phi190,15.653
theta000_phi200,15.954
theta000_phi210,15.103
theta000_phi220,13.596
theta000_phi230,14.689
theta000_phi240,15.880
theta000_phi250,16.477
theta000_phi260,13.841
theta000_phi270,13.635
theta000_phi280,13.299
theta000_phi290,11.945
theta000_phi300,9.891
theta000_phi310,10.680
theta000_phi320,14.063
theta000_phi330,12.704
theta000_phi340,14.910
theta000_phi350,15.058
theta018_phi000,10.026
theta018_phi010,11.229
theta018_phi020,12.625
theta018_phi030,15.645
theta018_phi040,12.986
theta018_phi050,14.106
theta018_phi060,10.948
theta018_phi070,11.959
theta018_phi080,11.254
theta018_phi090,12.139
theta018_phi100,9.719
theta018_phi110,14.756
theta018_phi120,11.692
theta018_phi130,13.320
theta018_phi140,13.932
theta018_phi150,16.706
theta018_phi160,16.463
theta018_phi170,18.219
theta018_phi180,17.797
theta018_phi190,19.442
theta018_phi200,17.128
theta018_phi210,15.947
theta018_phi220,13.463
theta018_phi230,15.950
theta018_phi240,15.763
theta018_phi250,18.798
theta018_phi260,9.762
theta018_phi270,11.798
theta018_phi280,10.878
theta018_phi290,8.545
theta018_phi300,7.931
theta018_phi310,6.924
theta018_phi320,9.068
theta018_phi330,9.625
theta018_phi340,10.462
theta018_phi350,11.106
theta036_phi000,8.183
theta036_phi010,11.620
theta036_phi020,13.929
theta036_phi030,10.076
theta036_phi040,11.268
theta036_phi050,10.601
theta036_phi060,10.638
theta036_phi070,11.197
theta036_phi080,11.078
theta036_phi090,13.460
theta036_phi100,8.998
theta036_phi110,9.573
theta036_phi120,12.289
theta036_phi130,12.359
theta036_phi140,10.969
theta036_phi150,13.197
theta036_phi160,18.000
theta036_phi170,15.704
theta036_phi180,19.321
theta036_phi190,13.452
theta036_phi200,15.252
theta036_phi210,12.819
theta036_phi220,11.240
theta036_phi230,9.826
theta036_phi240,9.968
theta036_phi250,8.881
theta036_phi260,6.654
theta036_phi270,6.915
theta036_phi280,5.568
theta036_phi290,6.212
theta036_phi300,5.665
theta036_phi310,6.002
theta036_phi320,9.968
theta036_phi330,7.484
theta036_phi340,7.190
theta036_phi350,10.493
theta054_phi000,10.962
theta054_phi010,9.450
theta054_phi020,9.620
theta054_phi030,11.274
theta054_phi040,9.388
theta054_phi050,10.489
theta054_phi060,12.324
theta054_phi070,10.925
theta054_phi080,12.508
theta054_phi090,11.404
theta054_phi100,11.201
theta054_phi110,9.841
theta054_phi120,5.835
theta054_phi130,5.969
theta054_phi140,6.060
theta054_phi150,5.693
theta054_phi160,7.784
theta054_phi170,10.674
theta054_phi180,11.997
theta054_phi190,10.235
theta054_phi200,7.188
theta054_phi210,7.404
theta054_phi220,6.151
theta054_phi230,4.474
theta054_phi240,4.351
theta054_phi250,7.403
theta054_phi260,4.472
theta054_phi270,5.159
theta054_phi280,6.244
theta054_phi290,4.888
theta054_phi300,5.723
theta054_phi310,3.842
theta054_phi320,7.540
theta054_phi330,6.986
theta054_phi340,8.775
theta054_phi350,8.520
theta072_phi000,8.989
theta072_phi010,8.196
theta072_phi020,7.359
theta072_phi030,5.197
theta072_phi040,6.690
theta072_phi050,8.520
theta072_phi060,7.390
theta072_phi070,8.534
theta072_phi080,6.216
theta072_phi090,7.431
theta072_phi100,7.078
theta072_phi110,7.985
theta072_phi120,8.482
theta072_phi130,7.436
theta072_phi140,4.921
theta072_phi150,4.305
theta072_phi160,5.646
theta072_phi170,3.933
theta072_phi180,5.136
theta072_phi190,7.929
theta072_phi200,4.768
theta072_phi210,7.239
theta072_phi220,5.759
theta072_phi230,5.485
theta072_phi240,2.464
theta072_phi250,4.991
theta072_phi260,4.026
theta072_phi270,5.426
theta072_phi280,5.456
theta072_phi290,4.092
theta072_phi300,4.417
theta072_phi310,5.874
theta072_phi320,5.168
theta072_phi330,2.843
theta072_phi340,4.229
theta072_phi350,6.209
theta090_phi000,4.796
theta090_phi010,3.904
theta090_phi020,3.845
theta090_phi030,4.321
theta090_phi040,4.893
theta090_phi050,4.415
theta090_phi060,6.686
theta090_phi070,5.258
theta090_phi080,5.100
theta090_phi090,5.245
theta090_phi100,5.263
theta090_phi110,7.252
theta090_phi120,9.534
theta090_phi130,9.215
theta090_phi140,10.325
theta090_phi150,7.583
theta090_phi160,2.641
theta090_phi170,4.289
theta090_phi180,5.411
theta090_phi190,3.685
theta090_phi200,4.536
theta090_phi210,3.858
theta090_phi220,3.974
theta090_phi230,4.600
theta090_phi240,4.579
theta090_phi250,4.199
theta090_phi260,3.857
theta090_phi270,6.246
theta090_phi280,4.913
theta090_phi290,4.931
theta090_phi300,4.684
theta090_phi310,3.616
theta090_phi320,4.062
theta090_phi330,3.673
theta090_phi340,4.606
theta090_phi350,7.187
full_scene,9.422
