viewpoint,avg_proximity
theta000_phi000,24.830
theta000_phi010,25.553
theta000_phi020,25.020
theta000_phi030,28.219
theta000_phi040,26.764
theta000_phi050,26.761
theta000_phi060,27.012
theta000_phi070,22.795
theta000_phi080,25.443
theta000_phi090,27.234
theta000_phi100,26.232
theta000_phi110,28.394
theta000_phi120,27.215
theta000_phi130,28.928
theta000_phi140,25.756
theta000_phi150,26.348
theta000_phi160,27.154
theta000_phi170,27.976
theta000_phi180,25.239
theta000_phi190,26.413
theta000_phi200,25.318
theta000_phi210,24.972
theta000_phi220,26.607
theta000_phi230,28.162
theta000_phi240,24.522
theta000_phi250,27.304
theta000_phi260,28.129
theta000_phi270,23.034
theta000_phi280,25.925
theta000_phi290,26.189
theta000_phi300,26.658
theta000_phi310,28.838
theta000_phi320,25.876
theta000_phi330,24.952
theta000_phi340,27.353
theta000_phi350,22.736
theta018_phi000,27.688
theta018_phi010,29.473
theta018_phi020,30.055
theta018_phi030,23.250
theta018_phi040,26.474
theta018_phi050,30.373
theta018_phi060,26.122
theta018_phi070,27.096
theta018_phi080,25.284
theta018_phi090,27.516
theta018_phi100,27.801
theta018_phi110,26.878
theta018_phi120,27.857
theta018_phi130,26.088
theta018_phi140,24.943
theta018_phi150,22.866
theta018_phi160,22.912
theta018_phi170,24.439
theta018_phi180,22.884
theta018_phi190,22.358
theta018_phi200,24.942
theta018_phi210,22.633
theta018_phi220,24.240
theta018_phi230,23.487
theta018_phi240,26.434
theta018_phi250,24.270
theta018_phi260,23.478
theta018_phi270,25.269
theta018_phi280,24.000
theta018_phi290,25.507
theta018_phi300,19.157
theta018_phi310,21.854
theta018_phi320,20.746
theta018_phi330,23.820
theta018_phi340,28.998
theta018_phi350,25.721
theta036_phi000,25.010
theta036_phi010,21.613
theta036_phi020,22.457
theta036_phi030,24.979
theta036_phi040,27.817
theta036_phi050,27.152
theta036_phi060,29.163
theta036_phi070,28.139
theta036_phi080,24.592
theta036_phi090,25.466
theta036_phi100,23.709
theta036_phi110,23.151
theta036_phi120,24.240
theta036_phi130,26.320
theta036_phi140,23.929
theta036_phi150,23.184
theta036_phi160,15.993
theta036_phi170,20.928
theta036_phi180,26.459
theta036_phi190,22.939
theta036_phi200,23.532
theta036_phi210,22.703
theta036_phi220,19.458
theta036_phi230,21.275
theta036_phi240,16.627
theta036_phi250,17.463
theta036_phi260,17.767
theta036_phi270,18.506
theta036_phi280,18.950
theta036_phi290,18.808
theta036_phi300,18.399
theta036_phi310,22.018
theta036_phi320,18.190
theta036_phi330,27.602
theta036_phi340,23.529
theta036_phi350,26.308
theta054_phi000,16.935
theta054_phi010,18.157
theta054_phi020,18.251
theta054_phi030,11.424
theta054_phi040,17.604
theta054_phi050,20.367
theta054_phi060,24.475
theta054_phi070,18.527
theta054_phi080,20.179
theta054_phi090,19.573
theta054_phi100,20.352
theta054_phi110,18.876
theta054_phi120,19.276
theta054_phi130,20.733
theta054_phi140,19.847
theta054_phi150,21.036
theta054_phi160,19.391
theta054_phi170,20.007
theta054_phi180,15.171
theta054_phi190,19.310
theta054_phi200,19.974
theta054_phi210,17.272
theta054_phi220,16.302
theta054_phi230,16.177
theta054_phi240,14.756
theta054_phi250,13.286
theta054_phi260,17.135
theta054_phi270,16.418
theta054_phi280,14.702
theta054_phi290,13.728
theta054_phi300,16.357
theta054_phi310,15.096
theta054_phi320,12.395
theta054_phi330,17.701
theta054_phi340,17.051
theta054_phi350,17.979
theta072_phi000,13.580
theta072_phi010,12.225
theta072_phi020,15.748
theta072_phi030,16.903
theta072_phi040,15.629
theta072_phi050,19.859
theta072_phi060,18.363
theta072_phi070,14.735
theta072_phi080,12.890
theta072_phi090,12.429
theta072_phi100,10.704
theta072_phi110,11.343
theta072_phi120,11.724
theta072_phi130,13.864
theta072_phi140,14.854
theta072_phi150,9.292
theta072_phi160,13.472
theta072_phi170,7.246
theta072_phi180,4.813
theta072_phi190,6.763
theta072_phi200,9.882
theta072_phi210,11.421
theta072_phi220,11.849
theta072_phi230,13.363
theta072_phi240,13.682
theta072_phi250,10.162
theta072_phi260,12.811
theta072_phi270,10.516
theta072_phi280,10.035
theta072_phi290,10.235
theta072_phi300,10.447
theta072_phi310,7.293
theta072_phi320,4.561
theta072_phi330,4.371
theta072_phi340,8.621
theta072_phi350,9.063
theta090_phi000,5.869
theta090_phi010,7.857
theta090_phi020,12.371
theta090_phi030,13.787
theta090_phi040,17.910
theta090_phi050,17.558
theta090_phi060,10.247
theta090_phi070,12.890
theta090_phi080,12.222
theta090_phi090,7.950
theta090_phi100,6.096
theta090_phi110,3.695
theta090_phi120,4.361
theta090_phi130,2.951
theta090_phi140,4.501
theta090_phi150,4.108
theta090_phi160,4.025
theta090_phi170,6.288
theta090_phi180,5.651
theta090_phi190,9.531
theta090_phi200,7.876
theta090_phi210,12.649
theta090_phi220,12.515
theta090_phi230,12.353
theta090_phi240,13.231
theta090_phi250,14.682
theta090_phi260,12.898
theta090_phi270,12.097
theta090_phi280,9.942
theta090_phi290,9.613
theta090_phi300,6.857
theta090_phi310,3.684
theta090_phi320,4.746
theta090_phi330,2.799
theta090_phi340,4.302
theta090_phi350,6.681
full_scene,18.697
