viewpoint,avg_proximity
theta000_phi000,13.261
theta000_phi010,13.542
theta000_phi020,14.465
theta000_phi030,14.130
theta000_phi040,14.951
theta000_phi050,12.679
theta000_phi060,18.500
theta000_phi070,14.008
theta000_phi080,15.479
theta000_phi090,17.318
theta000_phi100,13.986
theta000_phi110,17.472
theta000_phi120,13.655
theta000_phi130,15.208
theta000_phi140,16.520
theta000_phi150,16.185
theta000_phi160,17.238
theta000_phi170,17.415
theta000_phi180,17.008
theta000_phi190,14.519
theta000_phi200,15.547
theta000_phi210,14.260
theta000_phi220,15.825
theta000_phi230,15.342
theta000_phi240,14.463
theta000_phi250,14.600
theta000_phi260,14.601
theta000_phi270,18.922
theta000_phi280,17.383
theta000_phi290,13.675
theta000_phi300,16.016
theta000_phi310,15.761
theta000_phi320,19.160
theta000_phi330,16.408
theta000_phi340,16.420
theta000_phi350,14.427
theta018_phi000,18.106
theta018_phi010,14.803
theta018_phi020,13.934
theta018_phi030,14.604
theta018_phi040,12.762
theta018_phi050,14.959
theta018_phi060,13.016
theta018_phi070,14.072
theta018_phi080,14.469
theta018_phi090,12.536
theta018_phi100,13.740
theta018_phi110,12.812
theta018_phi120,14.880
theta018_phi130,15.078
theta018_phi140,14.451
theta018_phi150,15.755
theta018_phi160,13.972
theta018_phi170,14.611
theta018_phi180,13.075
theta018_phi190,13.399
theta018_phi200,14.118
theta018_phi210,12.507
theta018_phi220,13.409
theta018_phi230,13.028
theta018_phi240,12.577
theta018_phi250,17.594
theta018_phi260,13.276
theta018_phi270,16.013
theta018_phi280,17.237
theta018_phi290,16.894
theta018_phi300,15.426
theta018_phi310,15.076
theta018_phi320,18.295
theta018_phi330,17.749
theta018_phi340,14.233
theta018_phi350,16.470
theta036_phi000,11.917
theta036_phi010,14.938
theta036_phi020,14.340
theta036_phi030,17.017
theta036_phi040,11.679
theta036_phi050,11.410
theta036_phi060,13.701
theta036_phi070,9.637
theta036_phi080,9.900
theta036_phi090,12.083
theta036_phi100,12.447
theta036_phi110,14.119
theta036_phi120,8.423
theta036_phi130,13.634
theta036_phi140,9.861
theta036_phi150,12.541
theta036_phi160,12.107
theta036_phi170,10.600
theta036_phi180,11.443
theta036_phi190,13.018
theta036_phi200,9.372
theta036_phi210,10.746
theta036_phi220,12.265
theta036_phi230,12.746
theta036_phi240,12.939
theta036_phi250,13.789
theta036_phi260,13.323
theta036_phi270,12.228
theta036_phi280,11.276
theta036_phi290,12.837
theta036_phi300,11.383
theta036_phi310,12.357
theta036_phi320,12.242
theta036_phi330,14.078
theta036_phi340,14.010
theta036_phi350,14.376
theta054_phi000,10.888
theta054_phi010,11.935
theta054_phi020,10.717
theta054_phi030,8.371
theta054_phi040,8.969
theta054_phi050,8.589
theta054_phi060,10.191
theta054_phi070,7.562
theta054_phi080,9.770
theta054_phi090,6.598
theta054_phi100,9.099
theta054_phi110,6.551
theta054_phi120,4.672
theta054_phi130,8.180
theta054_phi140,8.185
theta054_phi150,8.690
theta054_phi160,9.329
theta054_phi170,9.115
theta054_phi180,6.794
theta054_phi190,5.266
theta054_phi200,7.810
theta054_phi210,4.229
theta054_phi220,5.738
theta054_phi230,4.339
theta054_phi240,8.185
theta054_phi250,9.671
theta054_phi260,10.066
theta054_phi270,9.460
theta054_phi280,7.679
theta054_phi290,11.084
theta054_phi300,9.855
theta054_phi310,11.527
theta054_phi320,13.361
theta054_phi330,13.348
theta054_phi340,12.981
theta054_phi350,12.361
theta072_phi000,6.282
theta072_phi010,7.329
theta072_phi020,4.958
theta072_phi030,3.526
theta072_phi040,5.242
theta072_phi050,4.483
theta072_phi060,7.206
theta072_phi070,6.267
theta072_phi080,4.738
theta072_phi090,3.462
theta072_phi100,3.848
theta072_phi110,4.953
theta072_phi120,4.463
theta072_phi130,5.365
theta072_phi140,8.144
theta072_phi150,4.894
theta072_phi160,5.642
theta072_phi170,5.650
theta072_phi180,4.765
theta072_phi190,3.042
theta072_phi200,3.570
theta072_phi210,3.417
theta072_phi220,4.585
theta072_phi230,3.145
theta072_phi240,5.036
theta072_phi250,4.699
theta072_phi260,6.926
theta072_phi270,6.541
theta072_phi280,4.603
theta072_phi290,5.432
theta072_phi300,4.575
theta072_phi310,6.865
theta072_phi320,8.951
theta072_phi330,8.242
theta072_phi340,8.143
theta072_phi350,7.965
theta090_phi000,4.501
theta090_phi010,4.112
theta090_phi020,3.392
theta090_phi030,4.590
theta090_phi040,3.037
theta090_phi050,3.065
theta090_phi060,3.672
theta090_phi070,2.302
theta090_phi080,4.708
theta090_phi090,4.648
theta090_phi100,3.576
theta090_phi110,3.081
theta090_phi120,3.678
theta090_phi130,6.628
theta090_phi140,3.029
theta090_phi150,7.489
theta090_phi160,4.543
theta090_phi170,4.419
theta090_phi180,5.592
theta090_phi190,3.916
theta090_phi200,5.402
theta090_phi210,4.826
theta090_phi220,3.717
theta090_phi230,1.965
theta090_phi240,6.959
theta090_phi250,3.585
theta090_phi260,3.118
theta090_phi270,2.854
theta090_phi280,3.515
theta090_phi290,5.064
theta090_phi300,3.921
theta090_phi310,3.056
theta090_phi320,3.218
theta090_phi330,4.193
theta090_phi340,3.687
theta090_phi350,2.529
full_scene,10.175
