viewpoint,avg_proximity
theta000_phi000,19.859
theta000_phi010,20.183
theta000_phi020,20.137
theta000_phi030,19.417
theta000_phi040,21.080
theta000_phi050,19.297
theta000_phi060,20.473
theta000_phi070,18.635
theta000_phi080,21.026
theta000_phi090,20.158
theta000_phi100,20.154
theta000_phi110,20.261
theta000_phi120,19.008
theta000_phi130,20.550
theta000_phi140,20.572
theta000_phi150,19.324
theta000_phi160,18.919
theta000_phi170,19.064
theta000_phi180,18.659
theta000_phi190,19.089
theta000_phi200,19.713
theta000_phi210,19.965
theta000_phi220,19.044
theta000_phi230,19.796
theta000_phi240,19.271
theta000_phi250,18.895
theta000_phi260,18.964
theta000_phi270,19.262
theta000_phi280,19.974
theta000_phi290,20.609
theta000_phi300,20.197
theta000_phi310,18.856
theta000_phi320,19.785
theta000_phi330,19.186
theta000_phi340,19.400
theta000_phi350,18.556
theta018_phi000,20.050
theta018_phi010,18.996
theta018_phi020,18.989
theta018_phi030,20.812
theta018_phi040,20.993
theta018_phi050,19.637
theta018_phi060,19.809
theta018_phi070,19.386
theta018_phi080,19.752
theta018_phi090,18.134
theta018_phi100,18.802
theta018_phi110,18.221
theta018_phi120,18.594
theta018_phi130,16.544
theta018_phi140,17.597
theta018_phi150,16.741
theta018_phi160,15.609
theta018_phi170,16.202
theta018_phi180,15.536
theta018_phi190,17.860
theta018_phi200,17.452
theta018_phi210,17.215
theta018_phi220,18.364
theta018_phi230,18.069
theta018_phi240,19.518
theta018_phi250,19.933
theta018_phi260,20.133
theta018_phi270,20.189
theta018_phi280,20.803
theta018_phi290,21.365
theta018_phi300,21.856
theta018_phi310,19.631
theta018_phi320,19.814
theta018_phi330,18.233
theta018_phi340,19.168
theta018_phi350,18.195
theta036_phi000,18.694
theta036_phi010,16.252
theta036_phi020,19.425
theta036_phi030,15.765
theta036_phi040,17.006
theta036_phi050,17.147
theta036_phi060,17.603
theta036_phi070,17.609
theta036_phi080,18.660
theta036_phi090,16.178
theta036_phi100,15.802
theta036_phi110,15.714
theta036_phi120,15.863
theta036_phi130,14.806
theta036_phi140,13.747
theta036_phi150,12.572
theta036_phi160,11.784
theta036_phi170,12.598
theta036_phi180,12.115
theta036_phi190,12.361
theta036_phi200,11.582
theta036_phi210,14.685
theta036_phi220,15.274
theta036_phi230,18.432
theta036_phi240,16.754
theta036_phi250,19.450
theta036_phi260,21.480
theta036_phi270,23.843
theta036_phi280,21.457
theta036_phi290,21.398
theta036_phi300,20.871
theta036_phi310,20.468
theta036_phi320,19.871
theta036_phi330,21.420
theta036_phi340,18.435
theta036_phi350,16.949
theta054_phi000,12.719
theta054_phi010,13.988
theta054_phi020,15.102
theta054_phi030,11.412
theta054_phi040,9.910
theta054_phi050,9.810
theta054_phi060,14.734
theta054_phi070,13.649
theta054_phi080,11.499
theta054_phi090,13.106
theta054_phi100,13.934
theta054_phi110,12.660
theta054_phi120,11.367
theta054_phi130,11.832
theta054_phi140,9.772
theta054_phi150,10.374
theta054_phi160,7.386
theta054_phi170,9.999
theta054_phi180,5.837
theta054_phi190,6.883
theta054_phi200,11.881
theta054_phi210,10.731
theta054_phi220,12.714
theta054_phi230,16.338
theta054_phi240,16.645
theta054_phi250,18.079
theta054_phi260,17.999
theta054_phi270,20.226
theta054_phi280,19.572
theta054_phi290,19.347
theta054_phi300,17.944
theta054_phi310,18.925
theta054_phi320,16.523
theta054_phi330,14.037
theta054_phi340,10.102
theta054_phi350,11.028
theta072_phi000,6.946
theta072_phi010,7.653
theta072_phi020,5.837
theta072_phi030,5.101
theta072_phi040,6.468
theta072_phi050,3.792
theta072_phi060,7.995
theta072_phi070,7.049
theta072_phi080,6.452
theta072_phi090,3.642
theta072_phi100,5.909
theta072_phi110,3.682
theta072_phi120,4.954
theta072_phi130,5.264
theta072_phi140,4.979
theta072_phi150,6.152
theta072_phi160,4.716
theta072_phi170,4.505
theta072_phi180,5.410
theta072_phi190,4.554
theta072_phi200,6.766
theta072_phi210,9.858
theta072_phi220,7.261
theta072_phi230,7.753
theta072_phi240,11.659
theta072_phi250,11.305
theta072_phi260,11.489
theta072_phi270,11.507
theta072_phi280,11.956
theta072_phi290,10.821
theta072_phi300,10.940
theta072_phi310,12.298
theta072_phi320,7.086
theta072_phi330,10.190
theta072_phi340,2.319
theta072_phi350,4.229
theta090_phi000,7.851
theta090_phi010,7.085
theta090_phi020,4.629
theta090_phi030,3.574
theta090_phi040,5.097
theta090_phi050,4.202
theta090_phi060,7.680
theta090_phi070,5.173
theta090_phi080,4.931
theta090_phi090,3.765
theta090_phi100,4.674
theta090_phi110,3.349
theta090_phi120,2.983
theta090_phi130,4.713
theta090_phi140,3.156
theta090_phi150,3.764
theta090_phi160,4.738
theta090_phi170,2.706
theta090_phi180,3.075
theta090_phi190,4.552
theta090_phi200,4.443
theta090_phi210,3.533
theta090_phi220,4.093
theta090_phi230,6.072
theta090_phi240,5.988
theta090_phi250,5.771
theta090_phi260,5.762
theta090_phi270,4.825
theta090_phi280,3.993
theta090_phi290,2.819
theta090_phi300,3.492
theta090_phi310,3.415
theta090_phi320,3.316
theta090_phi330,3.354
theta090_phi340,5.362
theta090_phi350,3.646
full_scene,13.416
